h3_start,hour,trip_count
892a1008827ffff,6,464
892a1008827ffff,7,1053
892a1008827ffff,8,1738
892a1008827ffff,9,1020
892a1008827ffff,10,713
892a1008827ffff,11,701
892a1008827ffff,12,770
892a1008827ffff,13,758
892a1008827ffff,14,913
892a1008827ffff,15,1066
892a1008827ffff,16,941
892a1008827ffff,17,1139
892a1008827ffff,18,979
892a1008827ffff,19,810
892a1008827ffff,20,445
892a1008827ffff,21,381
892a1008827ffff,22,271
892a1008827ffff,23,194
892a100882bffff,0,135
892a100882bffff,1,75
892a100882bffff,2,41
892a100882bffff,3,91
892a100882bffff,4,29
892a100882bffff,5,162
892a100882bffff,6,474
892a100882bffff,7,952
892a100882bffff,8,1200
892a100882bffff,9,753
892a100882bffff,10,593
892a100882bffff,11,551
892a100882bffff,12,578
892a100882bffff,13,637
892a100882bffff,14,711
892a100882bffff,15,798
892a100882bffff,16,824
892a100882bffff,17,948
892a100882bffff,18,924
892a100882bffff,19,736
892a100882bffff,20,536
892a100882bffff,21,401
892a100882bffff,22,371
892a100882bffff,23,213
892a100882fffff,0,331
892a100882fffff,1,159
892a100882fffff,2,92
892a100882fffff,3,36
892a100882fffff,4,31
892a100882fffff,5,107
892a100882fffff,6,392
892a100882fffff,7,892
892a100882fffff,8,1332
892a100882fffff,9,955
892a100882fffff,10,726
892a100882fffff,11,794
892a100882fffff,12,926
892a100882fffff,13,950
892a100882fffff,14,1030
892a100882fffff,15,1109
892a100882fffff,16,1074
892a100882fffff,17,1104
892a100882fffff,18,1101
892a100882fffff,19,973
892a100882fffff,20,814
892a100882fffff,21,704
892a100882fffff,22,595
892a100882fffff,23,415
892a100883bffff,0,108
892a100883bffff,1,45
892a100883bffff,2,39
892a100883bffff,3,17
892a100883bffff,4,5
892a100883bffff,5,77
892a100883bffff,6,313
892a100883bffff,7,679
892a100883bffff,8,794
892a100883bffff,9,535
892a100883bffff,10,531
892a100883bffff,11,527
892a100883bffff,12,546
892a100883bffff,13,509
892a100883bffff,14,511
892a100883bffff,15,563
892a100883bffff,16,660
892a100883bffff,17,795
